[DEBUG] 2019-10-15 18:56:15.680 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@e344ad3
[DEBUG] 2019-10-15 18:56:15.681 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@4f8b4bd0
[DEBUG] 2019-10-15 18:56:15.681 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@7bbbb6a8
[DEBUG] 2019-10-15 18:56:15.681 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@7bbbb6a8
[DEBUG] 2019-10-15 18:56:15.682 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@314ed053
[DEBUG] 2019-10-15 18:56:15.682 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@314ed053
[DEBUG] 2019-10-15 18:56:15.689 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@21a66d45
[DEBUG] 2019-10-15 18:56:15.689 [main] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@21a66d45
[DEBUG] 2019-10-15 18:56:15.691 [main] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@748e9b20
[DEBUG] 2019-10-15 18:56:15.691 [main] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@748e9b20
[DEBUG] 2019-10-15 18:56:15.692 [main] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@6a0ac48e
[DEBUG] 2019-10-15 18:56:15.692 [main] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@6a0ac48e
[DEBUG] 2019-10-15 18:56:15.693 [main] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@38704ff0
[DEBUG] 2019-10-15 18:56:15.693 [main] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@38704ff0
[DEBUG] 2019-10-15 18:56:15.695 [main] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@51d143a1
[DEBUG] 2019-10-15 18:56:15.695 [main] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@51d143a1
[DEBUG] 2019-10-15 18:56:15.696 [main] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@191a709b
[DEBUG] 2019-10-15 18:56:15.696 [main] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@191a709b
[DEBUG] 2019-10-15 18:56:15.697 [main] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@616b241a
[DEBUG] 2019-10-15 18:56:15.698 [main] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@616b241a
[DEBUG] 2019-10-15 18:56:15.699 [main] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@f3fcd59
[DEBUG] 2019-10-15 18:56:15.699 [main] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@f3fcd59
[DEBUG] 2019-10-15 18:56:15.700 [main] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@a20b94b
[DEBUG] 2019-10-15 18:56:15.700 [main] BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@a20b94b
[DEBUG] 2019-10-15 18:56:15.701 [main] BasicTypeRegistry - Adding type registration timestamp -> org.hibernate.type.TimestampType@3bead518
[DEBUG] 2019-10-15 18:56:15.701 [main] BasicTypeRegistry - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@3bead518
[DEBUG] 2019-10-15 18:56:15.705 [main] BasicTypeRegistry - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@3bead518
[DEBUG] 2019-10-15 18:56:15.707 [main] BasicTypeRegistry - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@7918c7f8
[DEBUG] 2019-10-15 18:56:15.708 [main] BasicTypeRegistry - Adding type registration calendar -> org.hibernate.type.CalendarType@5c82cd4f
[DEBUG] 2019-10-15 18:56:15.708 [main] BasicTypeRegistry - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@5c82cd4f
[DEBUG] 2019-10-15 18:56:15.708 [main] BasicTypeRegistry - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@5c82cd4f
[DEBUG] 2019-10-15 18:56:15.708 [main] BasicTypeRegistry - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@1fde4f40
[DEBUG] 2019-10-15 18:56:15.709 [main] BasicTypeRegistry - Adding type registration locale -> org.hibernate.type.LocaleType@7e2f86e6
[DEBUG] 2019-10-15 18:56:15.709 [main] BasicTypeRegistry - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@7e2f86e6
[DEBUG] 2019-10-15 18:56:15.710 [main] BasicTypeRegistry - Adding type registration currency -> org.hibernate.type.CurrencyType@344426bf
[DEBUG] 2019-10-15 18:56:15.710 [main] BasicTypeRegistry - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@344426bf
[DEBUG] 2019-10-15 18:56:15.711 [main] BasicTypeRegistry - Adding type registration timezone -> org.hibernate.type.TimeZoneType@2764c546
[DEBUG] 2019-10-15 18:56:15.712 [main] BasicTypeRegistry - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@2764c546
[DEBUG] 2019-10-15 18:56:15.713 [main] BasicTypeRegistry - Adding type registration class -> org.hibernate.type.ClassType@bb9ab64
[DEBUG] 2019-10-15 18:56:15.713 [main] BasicTypeRegistry - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@bb9ab64
